model,path,slice_idx,dice
SAM-vit_h,spleen_10.nii.gz,0,nan
SAM-vit_h,spleen_10.nii.gz,1,nan
SAM-vit_h,spleen_10.nii.gz,2,nan
SAM-vit_h,spleen_10.nii.gz,3,nan
SAM-vit_h,spleen_10.nii.gz,4,nan
SAM-vit_h,spleen_10.nii.gz,5,nan
SAM-vit_h,spleen_10.nii.gz,6,nan
SAM-vit_h,spleen_10.nii.gz,7,nan
SAM-vit_h,spleen_10.nii.gz,8,nan
SAM-vit_h,spleen_10.nii.gz,9,nan
SAM-vit_h,spleen_10.nii.gz,10,nan
SAM-vit_h,spleen_10.nii.gz,11,nan
SAM-vit_h,spleen_10.nii.gz,12,nan
SAM-vit_h,spleen_10.nii.gz,13,nan
SAM-vit_h,spleen_10.nii.gz,14,nan
SAM-vit_h,spleen_10.nii.gz,15,nan
SAM-vit_h,spleen_10.nii.gz,16,nan
SAM-vit_h,spleen_10.nii.gz,17,nan
SAM-vit_h,spleen_10.nii.gz,18,nan
SAM-vit_h,spleen_10.nii.gz,19,nan
SAM-vit_h,spleen_10.nii.gz,20,nan
SAM-vit_h,spleen_10.nii.gz,21,nan
SAM-vit_h,spleen_10.nii.gz,22,nan
SAM-vit_h,spleen_10.nii.gz,23,0.6504178272980501
SAM-vit_h,spleen_10.nii.gz,24,0.8914675767918089
SAM-vit_h,spleen_10.nii.gz,25,0.9206576125804146
SAM-vit_h,spleen_10.nii.gz,26,0.926981791429097
SAM-vit_h,spleen_10.nii.gz,27,0.8734430604982206
SAM-vit_h,spleen_10.nii.gz,28,0.9420049710024855
SAM-vit_h,spleen_10.nii.gz,29,0.934545102968191
SAM-vit_h,spleen_10.nii.gz,30,0.9336295473479589
SAM-vit_h,spleen_10.nii.gz,31,0.9234070342382685
SAM-vit_h,spleen_10.nii.gz,32,0.920844327176781
SAM-vit_h,spleen_10.nii.gz,33,0.9210153611504521
SAM-vit_h,spleen_10.nii.gz,34,0.9000713775874375
SAM-vit_h,spleen_10.nii.gz,35,0.885285446261056
SAM-vit_h,spleen_10.nii.gz,36,0.911857958148383
SAM-vit_h,spleen_10.nii.gz,37,0.6985153608702043
SAM-vit_h,spleen_10.nii.gz,38,0.6578589469593938
SAM-vit_h,spleen_10.nii.gz,39,0.6205896568390527
SAM-vit_h,spleen_10.nii.gz,40,nan
